16.10.2023                                                                                                                          Dynamic List Display                                                                                                                                                                                   1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room    |Equipment |Object Description                      |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|UserStatus    |Revision|System status                           |Act. start|Actual end| TotCostAct| PlanTotCos|MntPlan|MntItem|
|  PMMACCON |Size + Procure a Dip Tube for Tank 1179 |4000093962|ZM01|        |TORTNK1179|TANK 120L Stainless Steel Filtration    |B90       |TOR0B90-FIN009-TAN0004        |CA02T0043|30.03.2023|30.03.2023|PRCO ERAP RFEX|15072023|TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |30.03.2023|28.07.2023|  3,375.00 |  3,375.00 |       |       |
|  PMCARCON |B94 - Paint repair in B94 and B96       |4000094443|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|26.06.2023|26.06.2023|PRCO          |QUOTE   |REL  NMAT PRC  SETC                     |          |          |      0.00 |    931.50 |       |       |
|  PMELECT  |WFI Tank Indicator Replacement          |4000096770|ZM01|1405    |TORWFI1013|WATER FOR INJECTION                     |PM-BLK-WFI|TOR0B92-WFS005                |CA02T0086|06.10.2023|07.10.2023|PRCO RFEX     |04112023|REL  PCNF ESTC GMPS JIPR MANC MOBI PRC *|06.10.2023|          |  3,675.44 |  7,167.27 |       |       |
|  PMMACHI  |Production lift cart maintenance        |4000096936|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|28.08.2023|28.08.2023|PRCO ERAP RFEX|26082023|TECO CNF  MANC MOBI NMAT PRC  SETC      |10.08.2023|28.08.2023|    576.56 |  3,445.01 |       |       |
|  PMELECT  |Replace light upstairs office           |4000098669|ZM01|        |          |                                        |PM-EMS-STP|TOR0B85-BUI001                |CA02T0090|13.08.2023|13.08.2023|PRCO RFEX     |09092023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |12.08.2023|          |  1,052.56 |  1,936.64 |       |       |
|  PMELECT  |UPS requires service                    |4000098974|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|17.08.2023|17.08.2023|PRCO RFEX     |21102023|REL  PCNF JIPR MANC MOBI PRC  SETC      |14.08.2023|          |    576.56 |  6,041.14 |       |       |
|  PMSTMCON |1 hour delay for Cold WFI Request       |4000099351|ZM01|102     |TORWFI0011|SYSTEM_ WATER FOR INJECTION             |PM-BLK-WFI|TOR0B60-WFS002                |CA02T0086|14.08.2023|14.08.2023|PRCO RFEX     |26082023|REL  GMPS MANC PRC  SETC                |          |          |     98.24 |  3,002.24 |       |       |
|  PMMACCON |Double doors not closing in Dock        |4000099516|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|03.08.2023|03.08.2023|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,300.00 |       |       |
|  PMSTMCON |Insulation in penthouse B90             |4000101269|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|22.08.2023|22.08.2023|PRCO ERAP RFEX|02092023|TECO CNF  JBFI MANC NMAT PRC  SETC      |22.08.2023|04.10.2023|      0.00 |  1,260.00 |       |       |
|  PMPLUMB  |CIP chemical wash failure in system 2   |4000101971|ZM02|        |TORCIP1009|250L CIP Tank                           |B89       |TOR0B89-CIP003                |CA02T0043|25.08.2023|25.08.2023|PRCO RFEX     |CANCEL  |REL  CNF  JBFI PRC  SETC                |29.08.2023|29.08.2023|      0.00 |  1,216.25 |       |       |
|  PMPLUMB  |B89-CIP1009-chemical wash fail          |4000102009|ZM02|        |TORCIP1009|250L CIP Tank                           |B89       |TOR0B89-CIP003                |CA02T0043|25.08.2023|          |PRCO RFEX     |02092023|REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |04.09.2023|          |  3,058.07 |  5,261.67 |       |       |
|  PMREFRI  |B60 - CHW sup temperature high          |4000103066|ZM02|        |          |                                        |          |TOR0B60                       |CA02P0010|01.09.2023|          |ERAP PRCO RFEX|        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |25.09.2023|25.09.2023|    306.20 |  1,848.16 |       |       |
|  PMREFRI  |Repair RTU to supply AC to room 155     |4000104635|ZM02|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|07.09.2023|07.09.2023|PRCO RFEX     |        |REL  MANC MOBI PRC  SETC                |          |          |      0.00 |  3,036.70 |       |       |
|  PMSTEAM  |Investigate the heat barrier alarm      |4000105378|ZM01|2224    |TORAUT1154|AUTOCLAVE                               |PM-QUC-VR1|TOR0B92-LAB026-AUT0002        |CA02T0033|11.09.2023|11.09.2023|PRCO RFEX     |07102023|REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |  1,701.26 |       |       |
|  PMHVAC   |Rm 208 leak detector                    |4000105504|ZM02|        |          |                                        |          |TOR0B90                       |CA02T0167|14.09.2023|          |PRCO RFEX     |COMMENT |REL  PCNF PRT  GMPS JIPR MANC MOBI NMAT*|14.09.2023|          |  8,935.19 |  6,970.22 |       |       |
|  PMCARCON |Large Rectangle Cut Out in Dry Wall     |4000105609|ZM01|        |          |                                        |          |TOR0B60                       |CA02P0010|07.09.2023|07.09.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    919.50 |       |       |
|  PMCARCON |B83 Filling walkthrough observations    |4000105677|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|13.09.2023|13.09.2023|PRCO RFEX     |16092023|REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |  1,926.25 |       |       |
|  PMELECT  |I00 Troubleshoot PLC issue with AV006   |4000105756|ZM01|N/AP    |TORWAD1013|BIOWASTE INACTIVATION SYSTEM 1          |          |TORB100-BWS002-BIR0001        |CA02T0111|18.09.2023|18.09.2023|PRCO RFEX     |        |REL  MANC MOBI PRC  SETC                |          |          |      0.00 |  2,444.76 |       |       |
|  PMCARCON |DSP Repair chipped floor in B89 Rm 149  |4000105862|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|19.09.2023|19.09.2023|PRCO RFEX     |DECSD23 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC |18.09.2023|          |  2,278.07 |  3,293.50 |       |       |
|  PMMACHI  |WO for 100003952, status is in Alarm.   |4000106185|ZM01|1607    |100003952 |Condesnsate Booster Pump                |PM-BUI000 |TORB100-BSS001-PUM0021        |CA02T0111|21.09.2023|11.11.2023|PRCO RFEX     |11112023|REL  PCNF MANC MOBI PRC  SETC           |21.09.2023|          |  1,857.56 | 19,832.16 |       |       |
|  PMMACHI  |WASHROOM DOOR NOT SHUTING PROPERLY      |4000106229|ZM02|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|19.09.2023|          |PRCO RFEX     |REPORT  |REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |19.09.2023|          |    277.52 |  2,106.25 |       |       |
|  PMELECT  |Scale Display Not working               |4000106410|ZM02|MOBILE  |TORSCA1726|BALANCE_ CLASS III                      |PM-VIR-FOR|TOR0B92-FIN003-XXX0001-WI00007|CA02T0051|20.09.2023|22.09.2023|ERAP PRCO RFEX|21102023|TECO CNF  GMPS JBFI MOBI PRC  SETC      |29.09.2023|29.09.2023|  4,124.77 |  3,847.25 |       |       |
|  PMCARCON |Repair Decorative Wall East Site Exit   |4000106461|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|21.09.2023|21.09.2023|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          |  2,909.75 |  2,909.75 |       |       |
|  PMELECT  |Procure Motor for RSM Installation      |4000106556|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|20.09.2023|20.09.2023|PRCO RFEX     |PARTS   |REL  CNF  CSER JBFI MANC MOBI PRC  SETC |03.10.2023|04.10.2023|  4,142.54 | 15,006.13 |       |       |
|  PMELECON |B00- Electrical issue in the fountain   |4000106600|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|21.09.2023|21.09.2023|PRCO RFEX     |16092023|REL  GMPS MANC MOBI PRC  SETC           |          |          |    419.09 |  1,209.62 |       |       |
|  PMPLUMB  |R155 WALKIN FRIDGE GLASS CRACKED        |4000106944|ZM02|        |          |                                        |          |TOR0B89                       |CA02T0043|24.09.2023|          |PRCO RFEX     |21102023|REL  PCNF JIPR MANC MOBI NMAT PRC  SETC |25.09.2023|          |     63.81 |  1,312.76 |       |       |
|  PMMACHI  |PPD area DPM investigation              |4000106997|ZM02|        |          |                                        |          |TOR0B90                       |CA02T0167|25.09.2023|          |ERAP PRCO RFEX|        |TECO CNF  JBFI MANC MOBI NMAT PRC  SETC |25.09.2023|27.09.2023|  5,786.65 |  4,156.29 |       |       |
|  PMMACCON |B89 Room 128 caustic leak               |4000107012|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|25.09.2023|25.09.2023|PRCO RFEX     |COMMENT |REL  CNF  ESTC JBFI MANC NMAT PRC  SETC*|25.09.2023|26.09.2023|      0.00 |  1,150.00 |       |       |
|  PMMACHI  |DSP R113 Replace UF workstation handles |4000107113|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|05.10.2023|05.10.2023|PRCO RFEX     |28102023|REL  PCNF ESTC JIPR MANC MOBI PRC  SETC |04.10.2023|          |    854.08 |  1,960.72 |       |       |
|  PMCARCON |TR95 Stop sign to be moved              |4000107131|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|26.09.2023|26.09.2023|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    281.75 |       |       |
|  PMMACHI  |Installation of door sweep for 1346A    |4000107155|ZM02|1346A   |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0048|20.09.2023|          |PRCO RFEX     |COMMENT |REL  PCNF ESTC MANC MOBI NMAT PRC  SETC |27.09.2023|          |  1,195.67 |    820.01 |       |       |
|  PMMACCON |B90Dip-Weld Absence Test Sampling Cart  |4000107203|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|25.09.2023|25.09.2023|PRCO          |REPORT  |REL  CNF  JBFI NMAT PRC  SETC TTJL      |25.09.2023|26.09.2023|      0.00 |    495.00 |       |       |
|  PMELECON |B95 Hub Room, Mtg Rm 120 Light Repairs  |4000107233|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|22.09.2023|22.09.2023|PRCO RFEX     |        |REL  PCNF JIPR MANC NMAT PRC  SETC      |          |          |      0.00 |  1,165.68 |       |       |
|  PMCARCON |Repair steam wall damage Level 1 room 13|4000107239|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|01.09.2023|01.09.2023|PRCO ERAP RFEX|        |TECO CNF  PRT  JBFI MANC NMAT PRC  SETC |01.09.2023|28.09.2023|      0.00 |  2,622.00 |       |       |
|  PMCARCON |Repairs Needed to 280 and 268           |4000107455|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|24.08.2023|24.08.2023|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |    529.00 |       |       |
|  PMCARCON |B90 Insulation Repair                   |4000107472|ZM01|        |          |                                        |          |TOR0B90-BUI009                |CA02T0100|27.09.2023|27.09.2023|PRCO ERAP RFEX|REPORT  |TECO CNF  JBFI MANC NMAT PRC  SETC      |27.09.2023|12.10.2023|      0.00 |    680.00 |       |       |
|  PMCARCON |89 DSP/common area paint repairs        |4000107512|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|22.09.2023|22.09.2023|PRCO RFEX     |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |    759.00 |       |       |
|  PMCARCON |B89 MWS Painting touch ups              |4000107513|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|23.09.2023|23.09.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |  2,707.28 |       |       |
|  PMELECON |EMPLOYEE BBQ-2 power connections        |4000107517|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|21.08.2023|21.08.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  2,486.00 |       |       |
|  PMCARCON |B95 Hub Kitchen and MTG Room Touch Ups  |4000107639|ZM01|VARIOUS |          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|28.09.2023|28.09.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,449.00 |       |       |
|  PMCARCON |B95 - Cooling Tower Pipe Insulation Repa|4000107644|ZM01|LOWER RF|TORCOT1030|TOWER_COOLING                           |PM-EMS-MNT|TOR0B95-CWS001-COT0001        |CA02P0030|29.08.2023|29.08.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |  1,350.00 |       |       |
|  PMCARCON |Repair potholes rear parking lot        |4000107790|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|01.10.2023|01.10.2023|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |          | 10,705.00 | 10,705.00 |       |       |
|  PMMACCON |B90 Dock Door 230-231 Broken            |4000107849|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|26.09.2023|26.09.2023|PRCO RFEX     |14102023|REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  6,200.00 |       |       |
|  PMMACHI  |B92 R3109 CEN1062 Lid closes on its own |4000108140|ZM01|3109    |TORCEN1062|CENTRIFUGE                              |PM-QUC-CHE|TOR0B92-LAB001-CEN0004        |CA02T0024|10.10.2023|11.10.2023|PRCO ERAP RFEX|07102023|REL  PCNF JIPR MANC MOBI PRC  SETC      |10.10.2023|          |    426.92 |  1,775.89 |       |       |
|  PMELECT  |Damaged, need replacement               |4000108142|ZM01|168     |TORGLY1019|GLYCOL PRE_HEATING SYSTEM               |          |TOR0B89-HRS002                |CA02T0107|02.10.2023|03.10.2023|PRCO RFEX     |21102023|REL  MANC MOBI PRC  SETC                |          |          |      0.00 |  2,334.99 |       |       |
|  PMELECT  |Check site wide all Primex clock transmi|4000108207|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|03.10.2023|03.10.2023|PRCO RFEX     |21102023|REL  PCNF MANC MOBI PRC  SETC           |13.10.2023|          |  1,601.31 |  2,554.13 |       |       |
|  PMCARCON |Hallway Bumpers B60 repair/install      |4000108214|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B60-BUI001                |CA02T0090|12.07.2023|12.07.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  2,311.50 |       |       |
|  PMSTMCON |B54 south dock insulation               |4000108232|ZM01|        |          |                                        |PM-BAC-COP|TOR0B54-BUI001                |CA02T0045|03.10.2023|03.10.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |  1,660.00 |       |       |
|  PMMACHI  |Oil Leakage from TK314 Agitator         |4000108236|ZM01|2321    |TORRSM1745|ANTIFOAM AGITATOR/VFD                   |PM-EMS-MNT|TORB100-BIO002-FER0015-SI00001|CA02T0111|01.10.2023|01.10.2023|PRCO RFEX     |        |REL  MANC MOBI PRC  SETC                |          |          |      0.00 |  1,845.90 |       |       |
|  PMELECT  |B93 - WAS1019 Malfunctioning PLC        |4000109074|ZM02|128     |TORWAS1019|WASHER, VIAL                            |PM-BRD-CSU|TOR0B93-EQP002-WAM0001        |CA02P0009|04.10.2023|          |PRCO RFEX     |14102023|REL  GMPS MANC MOBI PRC  SETC           |          |          |  6,974.81 |  7,794.82 |       |       |
|  PMMACHI  |I00 Investigate Leak on SW Pre-Filter   |4000109192|ZM01|1607    |TORSFT1017|SOFTENED WATER SYSTEM                   |PM-EMS-MNT|TORB100-SWS001                |CA02T0111|06.10.2023|06.10.2023|PRCO RFEX     |        |REL  PCNF JIPR MANC MOBI PRC  SETC      |05.10.2023|          |    555.04 |  1,414.37 |       |       |
|  PMCARCON |B89 USP Paint Touch Ups                 |4000109223|ZM01|        |          |                                        |PM-BAC-COP|TOR0B89-BUI001                |CA02T0043|23.09.2023|23.09.2023|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |  3,122.29 |       |       |
|  PMCARCON |B92 3rd QC Chem lab paint/ ceiling tile |4000109224|ZM01|3109    |          |                                        |PM-QUC-CHE|TOR0B92-BUI001                |CA02T0024|07.07.2023|07.07.2023|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |    695.75 |       |       |
|  PMMACCON |B91 - WII0087 door not operational      |4000109272|ZM01|115     |TORWII0087|WALK_IN INCUBATOR                       |PM-MAM-MDC|TOR0B91-STO003-WII0002        |CA02T0067|04.10.2023|04.10.2023|PRCO RFEX     |07102023|REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,000.00 |       |       |
|  PMHSECON |B81-Defective switch on sprinkler lvl 2 |4000109358|ZM01|        |          |                                        |PM-ANR-ANT|TOR0B81-BUI001                |CA02T0028|05.10.2023|05.10.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    577.40 |       |       |
|  PMSTMCON |B54_CHW1_V007 surrounds rupture         |4000109743|ZM01|        |          |                                        |          |TOR0B54                       |CA02T0091|29.09.2023|29.09.2023|PRCO RFEX     |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |    560.00 |       |       |
|  PMSTMCON |89E DSP R122C Insulation repair         |4000109746|ZM01|        |          |                                        |          |TOR0B89                       |CA02T0043|22.09.2023|22.09.2023|PRCO RFEX     |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |      0.00 |    640.00 |       |       |
|  PMPLUMB  |Basement stairwell drain overflow       |4000109809|ZM02|        |          |                                        |          |TOR0B90                       |CA02T0167|25.08.2023|          |PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC           |          |          |      0.00 |  1,457.51 |       |       |
|  PMMACHI  |Dosing pump issue                       |4000109928|ZM02|1350    |TORSYS1129|SYSTEM_ ADJUVANT                        |PM-VIR-MED|TOR0B92-MEF005                |CA02T0049|11.10.2023|          |ERAP PRCO RFEX|28102023|REL  PCNF JIPR MANC MOBI PRC  SETC      |11.10.2023|          |  1,601.31 |  3,088.42 |       |       |
|  PMLABCON |Repair and Calibration                  |4000109934|ZM01|        |TORQAM1776|PROBE, PORTABLE HUMIDITY                |B61       |TOR0B61-MET002-TEE0006-MET0041|CA02T0054|10.10.2023|11.10.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC TTJL           |          |          |      0.00 |  1,504.56 |       |       |
|  PMCARCON |Room 174 floor touch up                 |4000110119|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B90-BUI001                |CA02T0039|12.10.2023|12.10.2023|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |          |      0.00 |  4,931.68 |       |       |
|  PMCARCON |B4- Ceiling leak                        |4000110123|ZM01|        |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|14.09.2023|14.09.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |    762.50 |       |       |
|  PMCARCON |Site Wide Snow Clearing 2023- 2024      |4000110251|ZM01|        |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|11.10.2023|11.10.2023|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 | 50,000.00 |       |       |
|  PMCARCON |B83 Roof Insulation Repair              |4000110315|ZM01|        |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|27.09.2023|27.09.2023|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,220.00 |       |       |
|  PMHVAC   |B95 - Pulleys and Belts replacement     |4000110320|ZM01|407     |TORSAS1113|SUPPLY_ STERILE AIR                     |PM-EMS-MNT|TOR0B95-HVA006-AHU0003        |CA02P0030|19.09.2023|19.09.2023|PRCO RFEX     |21102023|REL  MANC PRC  SETC                     |          |          |      0.00 |  1,512.16 |       |       |
|  PMMACCON |USP Rectangular Ring on sightglass      |4000110346|ZM01|        |TORCEN0081|CENTRIFUGE                              |B89       |TOR0B89-DSP003-CEN0001        |CA02T0043|13.10.2023|13.10.2023|PRCO RFEX     |21102023|REL  ESTC PRC  SETC                     |          |          |      0.00 |      6.01 |       |       |
|  PMCARCON |remove AC rm 214                        |4000110374|ZM02|        |          |                                        |          |TOR0B90                       |CA02T0167|16.10.2023|          |PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  1,257.37 |       |       |
|  PMMACCON |Impeller sticker expired                |4000110481|ZM01|        |TORTNK1780|TANK_ MOBILE FINAL PRODUCT_ 120L        |          |TOR0B00-STO001                |CA02T0091|23.09.2023|23.09.2023|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |      0.00 |  3,375.00 |       |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
