29.05.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                  1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Type|Room   |Equipment |Description of technical object         |Location  |Functional Location           |Cost Ctr |Bsc start |Basic fin.|User Status   |Revision|System status                           |Act. start|Actual end|ActTotCost| PlanTotCos|MntPlan|MntItem|
|  PMCARCON |Service call for Chubb, Legacy closeout |4000144554|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|03.05.2024|03.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          |   828.34 |    828.34 |       |       |
|  PMCARCON |parking lot layout changes by TR16      |4000144580|ZM01|       |          |                                        |          |TOR0B00                       |CA02T0091|10.05.2024|10.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |          | 5,500.00 |  5,500.00 |       |       |
|  PMELECT  |B83 LBL1015 Check UPS Low Battery       |4000144623|ZM01|       |TORLBL1015|Labeller, Vial NJM                      |B83       |TOR0B83-PAC002-LAM0004        |CA02T0001|08.06.2024|08.06.2024|PRCO RFEX     |Z080624 |REL  PCNF JIPR MANC MOBI PRC  SETC      |07.05.2024|          |     0.00 |    307.96 |       |       |
|  PMCARCON |Repair Damaged Crossing Signs           |4000144699|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|25.04.2024|25.04.2024|PRCO          |REPORT  |REL  GMPS MANC PRC  SETC                |          |          |   563.50 |    563.50 |       |       |
|  PMCARCON |B83 Rm333 Broken Floor Tile             |4000144832|ZM01|333    |          |                                        |PM-FIP-FIL|TOR0B83-BUI001                |CA02T0035|18.05.2024|18.05.2024|PRCO RFEX     |REPORT  |REL  NMAT PRC  SETC                     |          |          |     0.00 |    152.95 |       |       |
|  PMMACHI  |B92 TWS1001 Replace Broken Foot Valve   |4000145098|ZM01|       |TORTWS1001|TANK WASHING STATION                    |B92       |TOR0B92-EQP007-WSC0001        |CA02T0048|22.05.2024|22.05.2024|PRCO ERAP RFEX|Z180524 |TECO CNF  JBFI MANC MOBI PRC  SETC      |22.05.2024|22.05.2024|     0.00 |    499.82 |       |       |
|  PMELECON |2024 E&S Site Shutdown                  |4000145121|ZM01|       |          |                                        |          |TOR0B00                       |CA02T0091|25.05.2024|07.06.2024|PRCO RFEX     |E&S     |REL  GMPS MANC PRC  SETC                |          |          |   284.07 | 11,424.49 |       |       |
|  PMCARCON |B94 Generator Base Painting             |4000145429|ZM01|       |          |                                        |PM-ANR-ANT|TOR0B94-BUI001                |CA02T0028|26.04.2024|26.04.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    721.75 |       |       |
|  PMCARCON |B93, 200 fix the blind                  |4000145431|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B93-BUI001                |CA02T0091|09.04.2024|09.04.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    828.00 |       |       |
|  PMCARCON |B95 - Room 122/123- Rm Divider Repair   |4000145433|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|25.01.2024|25.01.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    695.75 |       |       |
|  PMMFO    |FIMCEN RUN12 Support                    |4000145440|ZM01|2332   |TORCEN1552|FIM Tubular Centrifuge                  |PM-CPD500 |TORB100-CES001-CEN0009        |CA02T0111|15.05.2024|18.05.2024|PRCO ERAP RFEX|        |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |15.05.2024|28.05.2024| 1,448.57 |  7,563.14 |       |       |
|  PMAUTO   |B95 - CHAs 2ndary pumps and reset DPS   |4000145544|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|01.06.2024|01.06.2024|PRCO RFEX     |Z010624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  2,911.78 |       |       |
|  PMCARCON |B95 Attach Plastic Sheet on Wall        |4000145549|ZM01|VARIOUS|          |                                        |PM-EMS-MNT|TOR0B95-BUI001                |CA02T0091|13.05.2024|13.05.2024|PRCO RFEX     |QUOTE   |REL  MANC PRC  SETC                     |          |          |     0.00 |    851.00 |       |       |
|  PMMACCON |Acid Cans Thickness to be Assessed      |4000145582|ZM01|MOBILE |TORTNK2369|ACID CAN 12 L                           |PM-BAC-COP|TOR0B89-DSP014-TAN0141        |CA02T0043|11.05.2024|11.05.2024|PRCO RFEX     |Z110524 |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |  8,687.50 |       |       |
|  PMPFO    |I00 Investigate Sprinkler Cabinet Latch |4000145588|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|15.05.2024|15.05.2024|PRCO RFEX     |        |REL  MOBI PRC  SETC                     |          |          |     0.00 |     81.86 |       |       |
|  PMPLMCON |I00 Insulate Missing Areas Mech Rm 3603 |4000145594|ZM01|3603   |          |                                        |          |TORB100                       |CA02T0111|18.05.2024|18.05.2024|PRCO          |        |REL  NMAT PRC  SETC                     |          |          |     0.00 |  5,640.00 |       |       |
|  PMMACCON |Hoist will not go in reverse            |4000145617|ZM01|RM. 224|TORHST1067|Hoist, SS Electrical                    |B90       |TOR0B90-EQP005-HOI0005        |CA02T0036|14.05.2024|14.05.2024|PRCO RFEX     |REPORT  |REL  PCNF JIPR MANC NMAT PRC  SETC      |08.05.2024|          |     0.00 |    786.00 |       |       |
|  PMCARCON |B16 Stairwell Black Grip Strip          |4000145780|ZM01|       |          |                                        |PM-EMS-GEN|TOR0B00-BUI001                |CA02T0101|20.05.2024|20.05.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    276.00 |       |       |
|  PMPLMCON |I00 Sulfuric Acid For WNS May2024       |4000145837|ZM01|N/AP   |TORWAD1011|B100 WASTE NEUTRALIZATION SYSTEM        |          |TORB100-BWS004-BIR0001        |CA02T0111|18.05.2024|18.05.2024|PRCO RFEX     |        |REL  PRC  SETC                          |          |          |     0.00 | 23,115.20 |       |       |
|  PMMACCON |B93 B&S Software Troubleshooting        |4000146110|ZM01|131    |TORFIM1015|FILLING MACHINE                         |PM-BRD-CBM|TOR0B93-FIL001-FMI0001        |CA02P0009|16.05.2024|16.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 30,290.91 |       |       |
|  PMCARCON |B90 MTech Exit Door Seals               |4000146272|ZM01|       |          |                                        |          |TOR0B90                       |CA02T0167|19.01.2024|19.01.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    471.50 |       |       |
|  PMMETRO  |METRO, 300010615 TES Intr               |4000146345|ZM05|236    |300010615 |SENSOR TEMPERATURE RECORDER             |PM-BAC-DIP|TOR0B90-BIO001-FER0012-TE00001|CA02T0040|21.05.2024|19.06.2024|PRCO RFEX     |        |REL  ILAS MANC NMAT PRC  SETC           |          |          |     0.00 |  1,590.00 |57412  |75053  |
|  PMCARCON |B58 Repair hole in metal flashing under |4000146470|ZM01|       |          |                                        |PM-BAC-COP|TOR0B54-BUI001                |CA02T0045|21.05.2024|21.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |    598.00 |       |       |
|  PMCARCON |B4 Men's Shower Sealant repair          |4000146629|ZM01|       |          |                                        |PM-EMS-MNT|TOR0B04-BUI001                |CA02T0101|23.05.2024|23.05.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |    431.25 |       |       |
|  PMCARCON |Paint and trim issues throughout B94    |4000146781|ZM01|       |          |                                        |          |TOR0B94                       |CA02T0028|18.03.2024|18.03.2024|PRCO          |REPORT  |REL  MANC PRC  SETC                     |          |          |     0.00 |  2,213.75 |       |       |
|  PMPLMCON |I00 Plumber Support for B100 Shutdown   |4000146797|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|28.07.2024|28.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 |102,966.00 |       |       |
|  PMPLMCON |I00 CP Area TufSteel Gasket Changes     |4000146798|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|01.07.2024|01.07.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |          |     0.00 | 27,889.00 |       |       |
|  PMMACCON |I00- cP Upstream centrifuge PM's        |4000146866|ZM08|2320   |TORCEN1544|CENTRIFUGE DISC STACK 1                 |PM-EMS-MNT|TORB100-MNT001-CEN0001        |CA02T0111|29.07.2024|31.07.2024|PRCO RFEX     |S/D     |REL  MANC PRC  SETC                     |          |          |     0.00 | 53,122.90 |       |       |
|  PMSTEAM  |B60 - heat sani interuption HEX1029     |4000147221|ZM02|102    |TORHEX1029|EXCHANGER_ASSEMBLY_PLANT STEAM HEAT     |PM-BLK-WFI|TOR0B60-WFS002-HEX0001        |CA02T0167|25.05.2024|31.05.2024|PRCO RFEX     |Z250524 |REL  GMPS MANC PRC  SETC                |          |          |   455.25 |  1,046.43 |       |       |
|  PMSTEAM  |B92 HEX1091 Control Valve Leak          |4000147235|ZM01|2500   |TORGLY1012|GLYCOL HEATING SYSTEM                   |PM-EMS-MNT|TOR0B92-HRS001                |CA02T0090|22.06.2024|22.06.2024|PRCO RFEX     |Z220624 |REL  MANC PRC  SETC                     |          |          |     0.00 |  1,526.15 |       |       |
|  PMPLMCON |B89 USP Rm125 Insulation repair         |4000147255|ZM01|       |          |                                        |          |TOR0B89                       |CA02T0043|25.05.2024|25.05.2024|PRCO          |Z250524 |REL  ESTC NMAT PRC  SETC                |          |          |     0.00 |  2,706.00 |       |       |
|  PMPLMCON |I00 Insulate Lines in CP DSP Rm 2331    |4000147369|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|28.05.2024|28.05.2024|PRCO ERAP RFEX|        |TECO CNF  JBFI MANC NMAT PRC  SETC      |28.05.2024|28.05.2024|     0.00 |    570.00 |       |       |
|  PMMACCON |I00 Stainless Steel Cage Wall           |4000147372|ZM01|       |          |                                        |          |TORB100                       |CA02T0111|08.06.2024|08.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |          |     0.00 | 23,795.00 |       |       |
|  PMPLMCON |B90 JUne shutdown contractor support    |4000148015|ZM08|       |          |                                        |          |TOR0B90                       |CA02T0167|01.06.2024|03.06.2024|PRCO          |REPORT  |REL  ESTC MANC NMAT PRC  SETC           |          |          |     0.00 |  8,220.00 |       |       |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
