08.10.2024                                                                                                                         Dynamic List Display                                                                                                                                                                                   1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Order     |Mn.wk.ctr|Description                             |Room    |Bsc start |Basic fin.|User Status   |Revision|System status                           |Plan Date |Type|Equipment |Created On|Functional Location           |Description of technical object         |Cost Ctr |Act. start|Actual end| PlanTotCos|MntPlan|MntItem|
|  4000178293|PMPLUMB  |Corr F Leak                             |M300    |28.08.2024|          |PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI NMAT PRC *|          |ZM02|TORAHU1074|28.08.2024|TOR0B90-HVA005-AHU0002        |AIR HANDLING UNIT_ NON_STERILE          |CA02T0039|28.08.2024|10.09.2024|  1,959.50 |       |       |
|  4000178303|PMMACCON |Modify autoclave carriage               |        |26.08.2024|26.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |28.08.2024|TOR0B90                       |                                        |CA02T0167|          |          |    645.00 |       |       |
|  4000178349|PMELECT  |B92 Mag Lock for Rm 1514/1503           |        |05.10.2024|05.10.2024|PRCO RFEX     |Z051024 |REL  GMPS MANC MOBI PRC  SETC           |          |ZM01|          |28.08.2024|TOR0B92                       |                                        |CA02T0048|          |          |    843.08 |       |       |
|  4000178353|PMWFICON |STI1018 High Temperature, Descaling     |1405    |28.08.2024|28.08.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORSTI1018|28.08.2024|TOR0B92-WFS004-WFP0001        |STILL_ MULTI_EFFECT DISTILLATION UNIT   |CA02T0064|          |          | 10,488.00 |       |       |
|  4000178381|PMCARCON |B18 West Deck Repairs                   |        |27.08.2024|27.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |28.08.2024|TOR0B18                       |                                        |         |          |          |  2,926.75 |       |       |
|  4000178393|PMMFO    |Add Film to cabinet windows             |        |22.08.2024|22.08.2024|PRCO RFEX     |31082024|REL  GMPS MANC MOBI PRC  SETC           |          |ZM01|          |29.08.2024|TORB100                       |                                        |CA02T0111|          |          |    113.39 |       |       |
|  4000178394|PMELECT  |B100-UF472 2 x temp probe replace       |        |22.08.2024|22.08.2024|PRCO RFEX     |31082024|REL  CNF  GMPS JBFI MOBI PRC  SETC      |          |ZM01|          |29.08.2024|TORB100                       |                                        |CA02T0111|20.09.2024|20.09.2024|  1,681.00 |       |       |
|  4000178410|PMMACCON |89E Main Door Not Closing               |89E DOOR|13.08.2024|13.08.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |29.08.2024|TOR0B89                       |                                        |CA02T0043|          |          |    870.00 |       |       |
|  4000178411|PMCARCON |B90 Installation of TV in MWS area      |        |12.09.2024|12.09.2024|PRCO RFEX     |REPORT  |REL  CNF  GMPS JBFI MANC MOBI NMAT PRC *|          |ZM01|          |29.08.2024|TOR0B90                       |                                        |CA02T0167|30.08.2024|12.09.2024|  2,012.50 |       |       |
|  4000178416|PMMACHI  |B89 Rm125 Broken Cabinet Handle         |        |04.09.2024|05.09.2024|PRCO RFEX     |COMMENT |REL  PCNF MANC MOBI NMAT PRC  SETC      |          |ZM01|          |29.08.2024|TOR0B89                       |                                        |CA02T0043|04.09.2024|          |  1,002.00 |       |       |
|  4000178661|PMELECT  |B89 Rm149 Fix J-Hook on Wall by SIP1006 |149     |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  GMPS MANC MOBI PRC  SETC           |          |ZM01|          |29.08.2024|TOR0B89                       |                                        |CA02T0047|          |          |    118.16 |       |       |
|  4000178770|PMPLMCON |B90 Valve Tuning Tet Live Area          |        |30.08.2024|30.08.2024|PRCO ERAP RFEX|        |TECO CNF  GMPS JBFI MACM MOBI PRC  SETC |          |ZM01|          |30.08.2024|TOR0B90                       |                                        |CA02T0167|05.09.2024|05.09.2024|    924.00 |       |       |
|  4000180015|PMMACHI  |Sprinkler Cap Fell of Ceiling           |        |03.09.2024|          |ERAP PRCO RFEX|        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM02|          |03.09.2024|TOR0B92                       |                                        |CA02T0048|03.09.2024|04.09.2024|     61.56 |       |       |
|  4000180035|PMMACCON |SYS1030 Investigation and Repair        |        |03.09.2024|03.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |03.09.2024|TOR0B90                       |                                        |CA02T0167|          |          |  3,039.00 |       |       |
|  4000180083|PMCARCON |B94 Washer mould investigation and remed|        |22.08.2024|22.08.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |03.09.2024|TOR0B94                       |                                        |CA02T0028|          |          |  6,192.00 |       |       |
|  4000180090|PMMACCON |B89 South Dock Missing Safety Curtain   |129     |03.09.2024|03.09.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|TORDLE1040|03.09.2024|TOR0B89-BUI001-DOL0001        |DOCK LEVELLER                           |CA02T0043|          |          |  1,805.00 |       |       |
|  4000180343|PMCARCON |B83 WIR0012 Mold investigation due to wa|128     |22.08.2024|22.08.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|TORWIR0012|04.09.2024|TOR0B83-STO001-COR0002        |WALK_IN REFRIGERATOR                    |CA02T0051|22.08.2024|17.09.2024|  6,139.73 |       |       |
|  4000180358|PMPLUMB  |Removing and Assembling Hoses - CP USP  |        |20.09.2024|21.09.2024|PRCO          |28092024|REL  PCNF GMPS JIPR MANC PRC  SETC TTJL |          |ZM01|          |04.09.2024|TORB100                       |                                        |CA02T0111|20.08.2024|          | 45,863.00 |       |       |
|  4000180406|PMELECT  |Replaced Outlet with GFCI               |        |13.09.2024|13.09.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MACM MOBI PRC  SETC |          |ZM01|          |04.09.2024|TORB100-DSP005-COW0001        |                                        |CA02T0111|17.09.2024|25.09.2024|    779.20 |       |       |
|  4000180409|PMELECT  |Communication error AIS1345             |2414    |30.08.2024|30.08.2024|PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI PRC  SETC      |          |ZM01|TORAIS1345|04.09.2024|TORB100-BIO003-ISO0004-FC00001|AIR SAMPLER,  MC EM VIABLE              |CA02T0111|11.09.2024|11.09.2024|  1,121.03 |       |       |
|  4000180424|PMMACCON |Remove Doors Rm2424 and 2422            |        |22.08.2024|22.08.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|          |04.09.2024|TOR0B92                       |                                        |CA02T0048|          |          |  2,025.00 |       |       |
|  4000180432|PMMACHI  |Rm168 Pump1 (b58.pmp.1256) Leaking Water|128     |14.09.2024|14.09.2024|PRCO RFEX     |Z140924 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC*|          |ZM01|TORCDS1033|04.09.2024|TOR0B89-SCS001-CDC0001        |CONDENSATE RETURN SYSTEM                |CA02T0043|14.09.2024|27.09.2024|  2,115.08 |       |       |
|  4000180648|PMCARCON |Site Walkways at B81/83 Repairs         |        |27.08.2024|27.08.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|          |05.09.2024|TOR0B00-BUI001                |                                        |CA02T0101|          |          | 15,306.50 |       |       |
|  4000180654|PMPLUMB  |I00 autoclave pneumatic tubing          |        |09.09.2024|09.09.2024|PRCO RFEX     |21092024|REL  PCNF GMPS MOBI PRC  SETC           |          |ZM01|          |05.09.2024|TORB100                       |                                        |CA02T0111|09.09.2024|          |  1,896.00 |       |       |
|  4000180685|PMMACHI  |drain pipe to be extended down through t|1607    |07.09.2024|07.09.2024|PRCO RFEX     |        |REL  CNF  GMPS MANC MOBI NMAT PRC  SETC |          |ZM01|TORTNK2021|05.09.2024|TORB100-PWS001-TAN0003        |NaOH Chemical Tank                      |CA02T0111|28.08.2024|07.09.2024|  1,184.00 |       |       |
|  4000180758|PMCARCON |Curb Cut (Sabin & Pasteur Ave)          |        |22.08.2024|22.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |05.09.2024|TOR0B00                       |                                        |CA02T0091|          |          | 31,843.50 |       |       |
|  4000180800|PMCARCON |B82 Landscape and Drainage Repairs      |        |22.08.2024|22.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |05.09.2024|TOR0B00                       |                                        |CA02T0091|          |          | 40,804.75 |       |       |
|  4000180937|PMPLUMB  |B83 CH1048, Install Water Meter         |163     |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  MANC PRC  SETC                     |          |ZM01|TORCHI1048|06.09.2024|TOR0B83-CWS003-CHI0001        |CHILLER                                 |CA02T0090|          |          |    442.75 |       |       |
|  4000181079|PMHVAC   |B95 Room 334A is cold                   |VARIOUS |28.09.2024|28.09.2024|PRCO RFEX     |Z280924 |REL  PCNF GMPS MANC MOBI PRC  SETC      |          |ZM01|          |06.09.2024|TOR0B95-BUI001                |                                        |CA02T0091|12.09.2024|          |    377.28 |       |       |
|  4000181097|PMELECT  |I00 troubleshooting compressor 2        |1607    |06.09.2024|          |PRCO RFEX     |        |REL  CNF  GMPS JBFI MOBI NMAT PRC  SETC |          |ZM02|TORCAS1032|06.09.2024|TORB100-ACN003                |COMPRESSED AIR GENERATION SYSTEM        |CA02T0111|07.09.2024|10.09.2024| 10,107.60 |       |       |
|  4000181114|PMPLMCON |I00 Hose Testing Assistance - CP DSP    |        |06.09.2024|06.09.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC                |          |ZM01|          |06.09.2024|TORB100                       |                                        |CA02T0111|          |          | 12,217.20 |       |       |
|  4000181457|PMELECON |B83 Kitchen life safety inspection parts|        |09.09.2024|09.09.2024|PRCO RFEX     |REPORT  |REL  GMPS PRC  SETC                     |          |ZM01|          |09.09.2024|TOR0B83                       |                                        |CA02T0035|          |          |    251.02 |       |       |
|  4000181464|PMHVAC   |B90Tet-NonLive-THS7099 Out of Trend T/RH|310     |12.09.2024|12.09.2024|PRCO RFEX     |Z051024 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|TORTHS7099|09.09.2024|TOR0B90-HVA006-AHU0003-TME0005|HUMIDITY_TEMPERATURE TRANSMITTER        |CA02T0039|12.09.2024|19.09.2024|  1,002.92 |       |       |
|  4000181554|PMELECON |B95 TROUBLE ALARM                       |VARIOUS |09.09.2024|09.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |09.09.2024|TOR0B95-BUI001                |                                        |CA02T0091|          |          |    988.40 |       |       |
|  4000181657|PMREFCON |B83 - CHI1048 - Replace VSOP board      |163     |21.09.2024|22.09.2024|PRCO RFEX     |Z210924 |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORCHI1048|10.09.2024|TOR0B83-CWS003-CHI0001        |CHILLER                                 |CA02T0090|          |          |  7,770.00 |       |       |
|  4000181680|PMELECT  |B85-LIGHT REPLACEMENT                   |        |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  MANC PRC  SETC                     |          |ZM01|          |10.09.2024|TOR0B85-BUI001                |                                        |CA02T0090|          |          |  1,111.21 |       |       |
|  4000181716|PMMACCON |Bottom plate repair                     |        |06.09.2024|06.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORAUT0100|10.09.2024|TOR0B90-EQP001-AUT0002        |AUTOCLAVE, GETINGE INTERNATIONAL        |CA02T0036|          |          |  2,015.00 |       |       |
|  4000181759|PMCARCON |B90 MWS Flooring and Paint Repairs      |        |06.09.2024|06.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |10.09.2024|TOR0B90-BUI001                |                                        |CA02T0039|          |          |  9,027.87 |       |       |
|  4000181863|PMCARCON |B100 cP DSP Safety Shower Lines         |        |06.09.2024|06.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |10.09.2024|TORB100-BUI001                |                                        |CA02T0111|          |          |  3,458.81 |       |       |
|  4000181868|PMCARCON |floor paint peeling off near FER0046    |        |09.09.2024|09.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORFER0046|10.09.2024|TOR0B89-BIO002-FER0001        |FERMENTER                               |CA02T0043|          |          |  3,702.13 |       |       |
|  4000181955|PMPLUMB  |B93 L2 Breach in Room 247               |        |11.09.2024|12.09.2024|PRCO RFEX     |Z070924 |REL  PCNF GMPS MANC MOBI NMAT PRC  SETC |          |ZM01|          |11.09.2024|TOR0B93-BUI001                |                                        |CA02T0091|11.09.2024|          |  4,820.50 |       |       |
|  4000181956|PMELECT  |B95-TV INSTALALTION HUB ROOM            |VARIOUS |19.10.2024|19.10.2024|PRCO RFEX     |Z191024 |REL  PCNF MANC MOBI NMAT PRC  SETC      |          |ZM01|          |11.09.2024|TOR0B95-BUI001                |                                        |CA02T0091|24.09.2024|          |  4,565.50 |       |       |
|  4000182049|PMCARCON |B83 Paint Touch Ups                     |3RD FLR |11.09.2024|11.09.2024|PRCO          |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |11.09.2024|TOR0B83-BUI001                |                                        |CA02T0035|          |          |  3,979.00 |       |       |
|  4000182098|PMCARCON |B91-Door Frame                          |        |11.09.2024|11.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |11.09.2024|TOR0B91-BUI001                |                                        |CA02T0021|          |          |    471.50 |       |       |
|  4000182099|PMELECT  |Hoist not operating                     |164     |11.09.2024|          |PRCO RFEX     |        |REL  CNF  JIPR MANC MOBI NMAT PRC  SETC |          |ZM02|TORHST1102|11.09.2024|TOR0B89-EQP006-HOI0001        |LIFTER_ DRUM                            |CA02T0044|11.09.2024|12.09.2024|    721.50 |       |       |
|  4000182122|PMELECT  |B81-Thermostat controller knocked apart |        |28.09.2024|28.09.2024|PRCO RFEX     |Z280924 |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|          |11.09.2024|TOR0B81-BUI001                |                                        |CA02T0028|26.09.2024|26.09.2024|    890.93 |       |       |
|  4000182240|PMREFRI  |WIR0044 temperature excursion           |        |21.09.2024|21.09.2024|PRCO ERAP RFEX|Z210924 |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC |          |ZM01|          |12.09.2024|TOR0B90                       |                                        |CA02T0167|23.09.2024|27.09.2024|    120.27 |       |       |
|  4000182259|PMPLUMB  |B83 – Kitchen sink drains               |KITCHEN |07.09.2024|07.09.2024|PRCO RFEX     |Z070924 |REL  CNF  GMPS JBFI MOBI PRC  SETC      |          |ZM01|          |12.09.2024|TOR0B83-BUI001                |                                        |CA02T0035|12.09.2024|13.09.2024|    501.69 |       |       |
|  4000182418|PMPLMCON |B93-BASEMENT -STORM DRAIN LEAK          |        |12.09.2024|12.09.2024|PRCO RFEX     |REPORT  |REL  CNF  GMPS JBFI MANC NMAT PRC  SETC*|          |ZM01|          |12.09.2024|TOR0B93-BUI001                |                                        |CA02T0091|12.09.2024|02.10.2024| 14,880.65 |       |       |
|  4000182424|PMCARCON |B83 – Cafeteria Door Closer Fire Safety |        |12.09.2024|12.09.2024|PRCO          |REPORT  |REL  GMPS NMAT PRC  SETC                |          |ZM01|          |12.09.2024|TOR0B83                       |                                        |CA02T0035|          |          |  1,253.50 |       |       |
|  4000182477|PMMACCON |Missing payment for Alfa Laval          |        |05.09.2024|05.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORCEN0081|12.09.2024|TOR0B89-DSP003-CEN0001        |CENTRIFUGE                              |CA02T0043|          |          |  3,586.54 |       |       |
|  4000182620|PMELECT  |TK202-PIT-001 Not working               |2104    |12.09.2024|12.09.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MOBI PRC  SETC      |          |ZM01|TORPRT2058|13.09.2024|TORB100-BUS002-TAN0003-PT00001|TRANSMITTER, PRESSURE INDICATING        |CA02T0111|16.09.2024|17.09.2024|    301.44 |       |       |
|  4000182634|PMPLMCON |B92 MR2500 Equipment Insulation         |2500    |10.09.2024|10.09.2024|PRCO ERAP     |REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|TORTNK1116|13.09.2024|TOR0B92-BUI008-TAN0003        |TANK, DOMESTIC, HOT WATER               |CA02T0074|10.09.2024|23.09.2024|  3,429.00 |       |       |
|  4000182635|PMPLMCON |B92 Rm3500 Equipment Insulation         |        |10.09.2024|10.09.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|TORAHU1102|13.09.2024|TOR0B92-HVA011-AHU0002        |AIR HANDLING UNIT                       |CA02T0074|          |          |  2,580.00 |       |       |
|  4000183155|PMMACCON |B53 ELV1010 Replace Elevator Starter    |        |13.09.2024|13.09.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|TORELV1010|16.09.2024|TOR0B53-MNT001-ELL0003        |ELEVATOR, PASSENGER                     |CA02T0091|          |          | 11,057.17 |       |       |
|  4000183181|PMREFRI  |WIR0054 - High Temp excursion           |        |21.09.2024|21.09.2024|PRCO RFEX     |Z210924 |REL  PCNF GMPS JIPR MANC MOBI NMAT PRC *|          |ZM01|          |16.09.2024|TOR0B90                       |                                        |CA02T0167|14.09.2024|          |  1,840.00 |       |       |
|  4000183186|PMPLMCON |I00 Cooling Tower Chemical Pump Replace |N/AP    |16.09.2024|16.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORCWS1002|16.09.2024|TORB100-CTW001-WPS0001        |CONDENSER WATER SUPP. CHEMICAL TREAT.PKG|CA02T0111|          |          |  1,214.61 |       |       |
|  4000183196|PMCARCON |Floors and Walls Repairs                |        |24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |16.09.2024|TOR0B89-BUI002                |                                        |CA02T0091|          |          |  3,793.41 |       |       |
|  4000183231|PMPLMCON |I00 CIP Pump Out September              |        |16.09.2024|16.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |16.09.2024|TORB100                       |                                        |CA02T0111|          |          |  1,950.00 |       |       |
|  4000183303|PMPFO    |I00 Assess New Polymer PH Probe Type    |2101    |16.09.2024|16.09.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                     |          |ZM01|TORTNK2195|16.09.2024|TORB100-MEF003-TAN0004        |5ACP MEDIA HOLD 5000L                   |CA02T0111|          |          |  1,024.00 |       |       |
|  4000183478|PMELECT  |Seperator high level alarm              |        |17.09.2024|          |ERAP PRCO RFEX|        |REL  CNF  JBFI MANC MOBI PRC  SETC      |          |ZM02|TORSTG1019|17.09.2024|TOR0B92-CSS003-CSG0001        |GENERATOR, PURE STEAM                   |CA02T0064|02.10.2024|03.10.2024|    798.69 |       |       |
|  4000183521|PMELECON |B00-LOAD BANK TESTING                   |        |17.09.2024|17.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |17.09.2024|TOR0B00-BUI001                |                                        |CA02T0101|          |          | 11,194.50 |       |       |
|  4000183538|PMMACCON |B00-sanitary scoping                    |        |17.09.2024|17.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |17.09.2024|TOR0B00-BUI001                |                                        |CA02T0101|          |          |  4,950.00 |       |       |
|  4000183593|PMPLMCON |I00 insulation repairs Rm1607 and CP Usp|        |17.09.2024|17.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |17.09.2024|TORB100                       |                                        |CA02T0111|          |          |  1,865.00 |       |       |
|  4000184348|PMPLUMB  |Clear side stream chemical injection pip|101     |21.09.2024|21.09.2024|PRCO RFEX     |Z210924 |REL  MANC MOBI PRC  SETC                |          |ZM01|TORCOT1020|19.09.2024|TOR0B54-CWS002-COT0002        |TOWER_COOLING                           |CA02T0090|          |          |    114.34 |       |       |
|  4000184362|PMELECT  |Check RTD due to a communication error  |2420    |19.09.2024|19.09.2024|PRCO RFEX     |28092024|REL  GMPS MOBI PRC  SETC                |          |ZM01|TORTET1670|19.09.2024|TORB100-DSP014-TAN0009-TT00005|TEMPERATURE TRANSMITTER, DETOX TANK     |CA02T0111|          |          |  1,751.86 |       |       |
|  4000184363|PMHVAC   |B60-AHU1205-DAMPER NOT OPENING          |110     |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  GMPS MANC PRC  SETC                |          |ZM01|TORAHU1205|19.09.2024|TOR0B60-HVA001-AHU0001        |AIR HANDLING UNIT                       |CA02P0007|          |          |    421.23 |       |       |
|  4000184473|PMMACCON |I00 Fabricate Stainless Steel hot work  |        |20.09.2024|20.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |20.09.2024|TORB100                       |                                        |CA02T0111|          |          |  3,750.00 |       |       |
|  4000184540|PMCARCON |B100 SE Envelope Corner Damage Repair   |        |16.09.2024|16.09.2024|PRCO RFEX     |        |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |20.09.2024|TORB100-BUI001                |                                        |CA02T0111|          |          |  5,270.00 |       |       |
|  4000184541|PMCARCON |B100 Wet Insulation Test Cuts           |        |12.09.2024|12.09.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |20.09.2024|TORB100-BUI001                |                                        |CA02T0111|          |          |  9,652.00 |       |       |
|  4000184542|PMCARCON |Line Painting - B100                    |        |12.08.2024|12.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |20.09.2024|TORB100-BUI001                |                                        |CA02T0111|          |          |  6,256.00 |       |       |
|  4000184679|PMCARCON |B92 Front Aluminium Door Repair         |        |20.09.2024|20.09.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|          |23.09.2024|TOR0B92                       |                                        |CA02T0048|          |          |  1,662.00 |       |       |
|  4000184846|PMELECON |No Conductivity Alarm Triggered (AE420) |2414    |19.09.2024|19.09.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|TORFER1165|23.09.2024|TORB100-BIO002-FER0051        |FERMENTOR                               |CA02T0111|          |          |  3,648.52 |       |       |
|  4000184876|PMREFRI  |B91-WIR1245-CONDENSER FAN MOTOR         |        |12.10.2024|12.10.2024|PRCO RFEX     |Z121024 |REL  MANC PRC  SETC                     |          |ZM01|TORWIR1245|23.09.2024|TOR0B91-STO003-COR0004        |Walk In Refrigerator                    |CA02T0067|          |          |    653.76 |       |       |
|  4000184884|PMPLMCON |B92 MR 1400/1405 Insulation             |        |23.09.2024|23.09.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|          |23.09.2024|TOR0B92                       |                                        |CA02T0048|          |          |  6,420.00 |       |       |
|  4000184885|PMCARCON |B92 Mechanical Room Repairs             |        |13.09.2024|13.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|          |23.09.2024|TOR0B92-BUI001                |                                        |CA02T0024|          |          | 12,733.64 |       |       |
|  4000184886|PMCARCON |B83 Basement corridor 130 Double Door Au|        |17.09.2024|17.09.2024|PRCO          |REPORT  |REL  CNF  JBFI MANC NMAT PRC  SETC      |          |ZM01|          |23.09.2024|TOR0B83-BUI001                |                                        |CA02T0035|          |          |  5,669.50 |       |       |
|  4000184887|PMCARCON |B92 Basement Linkway Door B91& B92      |        |17.09.2024|17.09.2024|PRCO          |REPORT  |REL  NMAT PRC  SETC                     |          |ZM01|          |23.09.2024|TOR0B92                       |                                        |CA02T0048|          |          |  8,803.25 |       |       |
|  4000184922|PMMACCON |Pump leaking PMP1156                    |101     |27.09.2024|27.09.2024|PRCO RFEX     |REPORT  |REL  CNF  JIPR MANC NMAT PRC  SETC TTJL |          |ZM01|TORPMP1156|23.09.2024|TOR0B54-CWS002-PUM0003        |PUMP_CONDENSER                          |CA02T0091|04.09.2024|27.09.2024|  3,260.00 |       |       |
|  4000184924|PMCARCON |B90Dip-Internal Audit Facility Defects  |        |31.07.2024|31.07.2024|PRCO ERAP RFEX|REPORT  |TECO CNF  GMPS JBFI MANC NMAT PRC  SETC |          |ZM01|          |23.09.2024|TOR0B90                       |                                        |CA02T0167|31.07.2024|07.10.2024|  3,762.61 |       |       |
|  4000185036|PMMACCON |B60 & B93 INSULATION WORK               |        |24.09.2024|24.09.2024|PRCO RFEX     |        |REL  PCNF JIPR MANC NMAT PRC  SETC      |          |ZM01|          |24.09.2024|TOR0B60-BUI001                |                                        |CA02T0090|          |          |  7,785.00 |       |       |
|  4000185059|PMPLMCON |Replace pipe insulations                |2414    |29.08.2024|29.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|TORFER1164|24.09.2024|TORB100-BIO002-FER0049        |TETANUS FERMENTOR 2                     |CA02T0111|          |          |    890.00 |       |       |
|  4000185136|PMMACCON |Install Pipe Insulation                 |        |28.06.2024|28.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |24.09.2024|TOR0B89                       |                                        |CA02T0043|          |          |    850.00 |       |       |
|  4000185298|PMMACCON |B95 Main Entrance door issue            |VARIOUS |25.09.2024|25.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |25.09.2024|TOR0B95-BUI001                |                                        |CA02T0091|          |          |    760.00 |       |       |
|  4000185346|PMMACCON |B60 -MECHANICAL ROOM STEAM CONDENSATE   |        |25.09.2024|25.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |25.09.2024|TOR0B60-BUI001                |                                        |CA02T0090|          |          |  4,225.00 |       |       |
|  4000185627|PMELECON |I00 Fridge door repairs                 |        |26.09.2024|26.09.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |26.09.2024|TORB100                       |                                        |CA02T0111|          |          |  1,530.00 |       |       |
|  4000185758|PMMACCON |B60-AUT1122-DOOR INSTALLATION STERIS    |227     |26.09.2024|26.09.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC NMAT PRC  SETC           |          |ZM01|TORAUT1122|26.09.2024|TOR0B60-LAB002-AUT0002        |AUTOCLAVE                               |CA02P0009|          |          |  8,478.00 |       |       |
|  4000185927|PMCARCON |B60 Guardrail with gate and dock demarca|        |16.09.2024|16.09.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC                |          |ZM01|          |27.09.2024|TOR0B60                       |                                        |CA02P0010|          |          | 11,143.50 |       |       |
|  4000185943|PMCARCON |B16 Brick Work                          |        |27.09.2024|27.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |27.09.2024|TOR0B00-BUI001                |                                        |CA02T0101|          |          | 20,849.50 |       |       |
|  4000185944|PMMACCON |Bin lifter Model DM-1100 Inspection     |        |27.09.2024|27.09.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC                |          |ZM01|          |27.09.2024|TOR0B89                       |                                        |CA02T0043|          |          |    915.00 |       |       |
