12.09.2024                                                                                                                                         Dynamic List Display                                                                                                                                                                                                  1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Order     |Type|Description                             |Mn.wk.ctr|Functional Location           |Description of technical object        |Equipment |MntPlan|Sched.Fin.|RefDate   |Bsc start |Basic fin.|Act. start|ActStart|Actual end|Act.Finish|Entered By  |Created On|Changed By |Changed On|User Status   |System status                           | ActTotCost|
|   4000180409|ZM01|Communication error AIS1345             |PMELECT  |TORB100-BIO003-ISO0004-FC00001|AIR SAMPLER,  MC EM VIABLE             |TORAIS1345|       |30.08.2024|30.08.2024|30.08.2024|30.08.2024|11.09.2024|08:36:00|11.09.2024|11:52:00  |E0486430    |04.09.2024|I0251626   |12.09.2024|PRCO RFEX     |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC |      0.00 |
|   4000180648|ZM01|Site Walkways at B81/83 Repairs         |PMCARCON |TOR0B00-BUI001                |                                       |          |       |27.08.2024|27.08.2024|27.08.2024|27.08.2024|          |00:00:00|          |00:00:00  |U1029207    |05.09.2024|U1029207   |05.09.2024|PRCO          |REL  NMAT PRC  SETC                     |      0.00 |
|   4000180685|ZM01|drain pipe to be extended down through t|PMMACHI  |TORB100-PWS001-TAN0003        |NaOH Chemical Tank                     |TORTNK2021|       |07.09.2024|07.09.2024|07.09.2024|07.09.2024|28.08.2024|14:40:00|07.09.2024|14:47:00  |E0486430    |05.09.2024|E0486430   |11.09.2024|PRCO RFEX     |REL  CNF  MANC MOBI NMAT PRC  SETC      |      0.00 |
|   4000180758|ZM01|Curb Cut (Sabin & Pasteur Ave)          |PMCARCON |TOR0B00                       |                                       |          |       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1040407    |05.09.2024|U1040407   |05.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000180800|ZM01|B82 Landscape and Drainage Repairs      |PMCARCON |TOR0B00                       |                                       |          |       |22.08.2024|22.08.2024|22.08.2024|22.08.2024|          |00:00:00|          |00:00:00  |U1040407    |05.09.2024|U1040407   |06.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000180937|ZM01|B83 CH1048, Install Water Meter         |PMPLUMB  |TOR0B83-CWS003-CHI0001        |CHILLER                                |TORCHI1048|       |14.09.2024|14.09.2024|14.09.2024|14.09.2024|          |00:00:00|          |00:00:00  |U1029207    |06.09.2024|U1029207   |06.09.2024|PRCO RFEX     |REL  PRC  SETC                          |      0.00 |
|   4000181114|ZM01|I00 Hose Testing Assistance - CP DSP    |PMPLMCON |TORB100                       |                                       |          |       |06.09.2024|06.09.2024|06.09.2024|06.09.2024|          |00:00:00|          |00:00:00  |U1040407    |06.09.2024|E0486430   |12.09.2024|PRCO RFEX     |REL  MANC PRC  SETC                     |      0.00 |
|   4000181457|ZM01|B83 Kitchen life safety inspection parts|PMELECON |TOR0B83                       |                                       |          |       |09.09.2024|09.09.2024|09.09.2024|09.09.2024|          |00:00:00|          |00:00:00  |U1029207    |09.09.2024|U1029207   |09.09.2024|PRCO RFEX     |REL  PRC  SETC                          |      0.00 |
|   4000181554|ZM01|B95 TROUBLE ALARM                       |PMELECON |TOR0B95-BUI001                |                                       |          |       |09.09.2024|09.09.2024|09.09.2024|09.09.2024|          |00:00:00|          |00:00:00  |I0393338    |09.09.2024|I0393338   |09.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000181657|ZM01|B83 - CHI1048 - Replace VSOP board      |PMHVACON |TOR0B83-CWS003-CHI0001        |CHILLER                                |TORCHI1048|       |15.09.2024|14.09.2024|14.09.2024|15.09.2024|          |00:00:00|          |00:00:00  |U1047750    |10.09.2024|U1047750   |10.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000181680|ZM01|B85-LIGHT REPLACEMENT                   |PMELECT  |TOR0B85-BUI001                |                                       |          |       |28.09.2024|28.09.2024|28.09.2024|28.09.2024|          |00:00:00|          |00:00:00  |U1025695    |10.09.2024|U1025695   |12.09.2024|PRCO RFEX     |REL  MANC PRC  SETC                     |      0.00 |
|   4000181716|ZM01|Bottom plate repair                     |PMMACCON |TOR0B90-EQP001-AUT0002        |AUTOCLAVE, GETINGE INTERNATIONAL       |TORAUT0100|       |06.09.2024|06.09.2024|06.09.2024|06.09.2024|          |00:00:00|          |00:00:00  |U1040407    |10.09.2024|U1040407   |10.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000181759|ZM01|B90 MWS Flooring and Paint Repairs      |PMCARCON |TOR0B90-BUI001                |                                       |          |       |06.09.2024|06.09.2024|06.09.2024|06.09.2024|          |00:00:00|          |00:00:00  |U1040407    |10.09.2024|U1040407   |10.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000181863|ZM01|B100 cP DSP Safety Shower Lines         |PMCARCON |TORB100-BUI001                |                                       |          |       |06.09.2024|06.09.2024|06.09.2024|06.09.2024|          |00:00:00|          |00:00:00  |U1040407    |10.09.2024|U1040407   |10.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000181868|ZM01|floor paint peeling off near FER0046    |PMCARCON |TOR0B89-BIO002-FER0001        |FERMENTER                              |TORFER0046|       |09.09.2024|09.09.2024|09.09.2024|09.09.2024|          |00:00:00|          |00:00:00  |U1040407    |10.09.2024|U1040407   |10.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000182049|ZM01|B83 Paint Touch Ups                     |PMCARCON |TOR0B83-BUI001                |                                       |          |       |11.09.2024|11.09.2024|11.09.2024|11.09.2024|          |00:00:00|          |00:00:00  |U1029207    |11.09.2024|U1029207   |12.09.2024|PRCO          |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000182098|ZM01|B91-Door Frame                          |PMCARCON |TOR0B91-BUI001                |                                       |          |       |11.09.2024|11.09.2024|11.09.2024|11.09.2024|          |00:00:00|          |00:00:00  |I0393338    |11.09.2024|I0393338   |11.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000182240|ZM01|WIR0044 temperature excursion           |PMELECTR |TOR0B90                       |                                       |          |       |21.09.2024|21.09.2024|21.09.2024|21.09.2024|          |00:00:00|          |00:00:00  |U1025695    |12.09.2024|U1025695   |12.09.2024|PRCO RFEX     |REL  MANC PRC  SETC                     |      0.00 |
|   4000182424|ZM01|B83 – Cafeteria Door Closer Fire Safety |PMCARCON |TOR0B83                       |                                       |          |       |12.09.2024|12.09.2024|12.09.2024|12.09.2024|          |00:00:00|          |00:00:00  |U1029207    |12.09.2024|U1029207   |12.09.2024|PRCO          |REL  NMAT PRC  SETC                     |      0.00 |
|   4000182477|ZM01|Missing payment for Alfa Laval          |PMMACCON |TOR0B89-DSP003-CEN0001        |CENTRIFUGE                             |TORCEN0081|       |05.09.2024|05.09.2024|05.09.2024|05.09.2024|          |00:00:00|          |00:00:00  |U1025695    |12.09.2024|U1025695   |12.09.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000143826|ZM03|PM-MACON, DOR1009                       |PMMACCON |TOR0B81-BUI001-DOO0001        |DOOR_ NORTHEAST OVERHEAD               |TORDOR1009|2899   |01.09.2024|01.09.2024|01.09.2024|30.09.2024|          |00:00:00|          |00:00:00  |IP1020240504|04.05.2024|U1014358   |26.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000143828|ZM03|PM-MACON, DOR1053                       |PMMACCON |TOR0B89-BUI003-DOO0001        |Door, Dock                             |TORDOR1053|2899   |01.09.2024|01.09.2024|01.09.2024|30.09.2024|          |00:00:00|          |00:00:00  |IP1020240504|04.05.2024|U1014358   |26.08.2024|PRCO RFEX     |REL  MANC NMAT PRC  SETC                |      0.00 |
|   4000143986|ZM03|PM-MACON, WAS1084                       |PMMACCON |TOR0B94-EQP002-WAM0001        |WASHER, CAGE/RACK                      |TORWAS1084|3213   |02.09.2024|01.09.2024|01.09.2024|30.09.2024|          |00:00:00|          |00:00:00  |IP1020240504|04.05.2024|U1047750   |09.09.2024|PRCO RFEX     |REL  PRT  MANC NMAT PRC  SETC           |      0.00 |
|   4000142950|ZM05|METRO, 300015958 TOC Intr               |PMMETRO  |TOR0B92-WFS002-XXX0001-TOC0001|ANALYZER_TOC                           |300015958 |66358  |31.08.2024|10.09.2024|01.08.2024|30.09.2024|01.08.2024|08:00:00|30.08.2024|21:01:11  |IP1020240426|26.04.2024|ASYS-CTRL-M|10.09.2024|PRCO RFEX     |TECO CNF  GMPS ILAS JBFI MANC PRC  SETC |  2,598.51 |
|   4000175715|ZM05|PMMETRO, 300023089 VHP                  |PMMETRO  |TOR0B93-VHP005                |SYSTEM_ VHP DECOMTAMINATION            |300023089 |83395  |01.02.2025|01.02.2025|01.02.2025|02.03.2025|          |00:00:00|          |00:00:00  |E0218570    |16.08.2024|U1025695   |26.08.2024|PRCO RFEX     |REL  ILAS MANC NMAT PRC  SETC           |      0.00 |
|   4000175716|ZM05|PMMETRO, 300018106 VHP                  |PMMETRO  |TOR0B93-VHP004                |SYSTEM_ VHP DECOMTAMINATION            |300018106 |83396  |01.02.2025|01.02.2025|01.02.2025|02.03.2025|          |00:00:00|          |00:00:00  |E0218570    |16.08.2024|U1025695   |26.08.2024|PRCO RFEX     |REL  ILAS MANC NMAT PRC  SETC           |      0.00 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  *          |    |                                        |         |                              |                                       |          |       |          |          |          |          |          |        |          |          |            |          |           |          |              |                                        |243,390.29 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
